id	sexo	idade	vinculo	estacionamento	instalacoes	ambiente
75	Masculino	35	Servidor	Ótimo	Ótimo	Bom
76	Masculino	30	Servidor	Regular	Bom	Ótimo
77	Masculino	30	Servidor	Bom	Bom	Ótimo
78	Feminino	31	Servidor	Bom	Ótimo	Bom
79	Feminino	45	Servidor	Ótimo	Ótimo	Bom
80	Masculino	35	Servidor	Bom	Regular	Bom
81	Masculino	33	Servidor	Bom	Ótimo	Bom
82	Masculino	29	Servidor	Ruim	Ótimo	Bom
83	Feminino	39	Terceirizado	Ruim	Ótimo	Ótimo
84	Masculino	36	Servidor	Regular	Ótimo	Ótimo
85	Feminino	36	Servidor	Bom	Regular	Bom
86	Masculino	32	Servidor	Bom	Bom	Ótimo
87	Masculino	30	Terceirizado	Regular	Bom	Regular
88	Feminino	43	Servidor	Bom	Bom	Regular
89	Feminino	32	Servidor	Regular	Ótimo	Bom
90	Masculino	36	Servidor	Bom	Bom	Ótimo
91	Feminino	37	Servidor	Regular	Bom	Bom
92	Masculino	38	Terceirizado	Bom	Bom	Ótimo
93	Masculino	32	Servidor	Regular	Bom	Bom
94	Feminino	22	Estagiário	Ruim	Ótimo	Ótimo
95	Masculino	34	Servidor	Bom	Ótimo	Regular
96	Masculino	31	Terceirizado	Bom	Ótimo	Regular
97	Masculino	26	Servidor	Bom	Bom	Regular
98	Masculino	31	Servidor	Bom	Ótimo	Ótimo
99	Feminino	43	Servidor	Bom	Regular	Regular
100	Feminino	18	Estagiário	Bom	Ruim	Ótimo
101	Masculino	37	Servidor	Bom	Ótimo	Bom
102	Feminino	40	Terceirizado	Regular	Ótimo	Ótimo
103	Masculino	25	Servidor	Bom	Bom	Bom
104	Masculino	23	Estagiário	Bom	Bom	Ótimo
105	Feminino	19	Estagiário	Ótimo	Bom	Ótimo
106	Feminino	40	Servidor	Regular	Bom	Regular
107	Masculino	42	Servidor	Regular	Ótimo	Regular
108	Feminino	31	Servidor	Bom	Bom	Ótimo
109	Masculino	31	Servidor	Regular	Ótimo	Bom
110	Feminino	30	Servidor	Regular	Bom	Bom
111	Feminino	31	Servidor	Regular	Ótimo	Bom
112	Masculino	31	Servidor	Bom	Ótimo	Ótimo
113	Masculino	32	Servidor	Ruim	Ótimo	Bom
114	Feminino	35	Servidor	Bom	Ótimo	Bom
115	Feminino	31	Terceirizado	Regular	Ótimo	Ótimo
116	Feminino	32	Servidor	Regular	Bom	Bom
117	Masculino	52	Servidor	Regular	Ótimo	Bom
118	Masculino	40	Servidor	Regular	Regular	Bom
119	Feminino	35	Servidor	Regular	Ótimo	Bom
120	Feminino	22	Servidor	Regular	Bom	Bom
121	Feminino	32	Servidor	Bom	Ótimo	Bom
122	Masculino	26	Servidor	Ótimo	Ótimo	Bom
123	Masculino	43	Servidor	Regular	Ótimo	Bom
124	Feminino	33	Terceirizado	Ótimo	Ótimo	Ótimo
125	Feminino	43	Terceirizado	Regular	Bom	Ótimo
126	Feminino	34	Servidor	Bom	Ótimo	Ótimo
127	Feminino	30	Servidor	Regular	Ótimo	Ótimo
128	Masculino	37	Servidor	Regular	Bom	Bom
129	Feminino	37	Servidor	Regular	Bom	Bom
130	Feminino	36	Servidor	Bom	Bom	Ótimo
131	Masculino	37	Servidor	Regular	Ótimo	Bom
132	Masculino	36	Servidor	Ruim	Regular	Bom
133	Masculino	36	Servidor	Bom	Bom	Ruim
134	Masculino	43	Servidor	Bom	Ótimo	Bom
135	Feminino	45	Servidor	Bom	Ruim	Bom
136	Feminino	42	Servidor	Bom	Ótimo	Ruim
137	Feminino	33	Servidor	Bom	Bom	Bom
138	Feminino	37	Terceirizado	Bom	Bom	Ótimo
139	Feminino	37	Terceirizado	Bom	Ótimo	Ótimo
140	Feminino	38	Servidor	Regular	Ótimo	Ruim
141	Feminino	37	Servidor	Bom	Ótimo	Regular
142	Masculino	35	Servidor	Ruim	Ótimo	Bom
143	Feminino	36	Servidor	Bom	Ótimo	Bom
144	Feminino	36	Servidor	Bom	Regular	Bom
145	Feminino	37	Servidor	Bom	Bom	Regular
146	Feminino	32	Terceirizado	Bom	Ótimo	Bom
147	Feminino	35	Terceirizado	Bom	Regular	Ótimo
148	Masculino	22	Estagiário	Bom	Ótimo	Ótimo
149	Masculino	49	Servidor	Ótimo	Bom	Bom
150	Feminino	32	Servidor	Regular	Bom	Bom
151	Masculino	22	Estagiário	Regular	Regular	Bom
152	Feminino	36	Servidor	Regular	Bom	Ótimo
153	Feminino	42	Servidor	Bom	Ótimo	Bom
154	Masculino	48	Terceirizado	Regular	Bom	Ótimo
155	Masculino	40	Servidor	Regular	Ótimo	Bom
156	Feminino	35	Terceirizado	Bom	Bom	Ótimo
157	Masculino	31	Servidor	Regular	Ótimo	Ótimo
158	Masculino	25	Servidor	Bom	Ótimo	Bom
159	Masculino	33	Servidor	Regular	Bom	Bom
160	Masculino	21	Estagiário	Bom	Regular	Ótimo
161	Masculino	34	Servidor	Ótimo	Bom	Ótimo
162	Feminino	32	Terceirizado	Bom	Ótimo	Ótimo
163	Feminino	37	Servidor	Regular	Ótimo	Bom
164	Masculino	26	Servidor	Ruim	Bom	Bom
165	Feminino	35	Terceirizado	Regular	Ótimo	Bom
166	Masculino	34	Servidor	Bom	Bom	Bom
167	Feminino	35	Servidor	Bom	Ótimo	Ótimo
168	Masculino	44	Servidor	Bom	Ótimo	Ótimo
169	Masculino	33	Servidor	Regular	Ótimo	Bom
170	Masculino	33	Servidor	Bom	Ótimo	Ótimo
171	Masculino	39	Servidor	Ruim	Bom	Bom
172	Masculino	29	Servidor	Ruim	Ruim	Bom
173	Masculino	34	Terceirizado	Ruim	Bom	Ótimo
174	Masculino	32	Servidor	Ruim	Ótimo	Bom
175	Feminino	20	Estagiário	Ótimo	Ótimo	Bom
176	Feminino	29	Terceirizado	Ruim	Bom	Bom
177	Feminino	30	Servidor	Ótimo	Bom	Ótimo
178	Feminino	26	Terceirizado	Bom	Ótimo	Bom
179	Feminino	35	Terceirizado	Bom	Bom	Ótimo
180	Masculino	42	Terceirizado	Bom	Bom	Ótimo
181	Masculino	29	Servidor	Regular	Ótimo	Regular
182	Feminino	38	Servidor	Regular	Regular	Bom
183	Feminino	39	Servidor	Regular	Bom	Bom
184	Masculino	54	Terceirizado	Ruim	Bom	Ótimo
185	Masculino	27	Terceirizado	Regular	Bom	Ótimo
186	Feminino	32	Terceirizado	Bom	Ótimo	Ótimo
187	Feminino	30	Servidor	Regular	Ruim	Regular
188	Feminino	33	Terceirizado	Regular	Regular	Ótimo
189	Feminino	34	Terceirizado	Regular	Ótimo	Bom
190	Feminino	41	Servidor	Regular	Ótimo	Bom
191	Masculino	34	Servidor	Ruim	Ótimo	Regular
192	Masculino	18	Estagiário	Regular	Bom	Bom
193	Masculino	38	Terceirizado	Regular	Ótimo	Ótimo
194	Feminino	20	Estagiário	Bom	Regular	Ótimo
195	Masculino	22	Estagiário	Bom	Bom	Ótimo
196	Feminino	20	Servidor	Bom	Ótimo	Bom
197	Masculino	31	Servidor	Bom	Bom	Bom
198	Masculino	36	Servidor	Regular	Ruim	Ótimo
199	Feminino	30	Terceirizado	Ruim	Regular	Ótimo
200	Feminino	43	Servidor	Ruim	Bom	Bom
201	Masculino	33	Servidor	Ruim	Ótimo	Bom
202	Masculino	29	Servidor	Bom	Bom	Bom
203	Masculino	33	Servidor	Regular	Bom	Bom
204	Feminino	33	Servidor	Bom	Ótimo	Ótimo
205	Masculino	32	Servidor	Regular	Bom	Regular
206	Feminino	32	Servidor	Ruim	Bom	Bom
207	Feminino	35	Servidor	Regular	Bom	Ótimo
208	Masculino	32	Servidor	Regular	Ótimo	Ótimo
209	Masculino	20	Estagiário	Ruim	Bom	Ótimo
210	Feminino	20	Estagiário	Regular	Ótimo	Ótimo
211	Masculino	31	Terceirizado	Regular	Bom	Bom
212	Masculino	35	Terceirizado	Bom	Ótimo	Bom
213	Feminino	39	Servidor	Regular	Bom	Ótimo
214	Feminino	18	Estagiário	Regular	Ótimo	Regular
215	Feminino	27	Servidor	Ótimo	Ótimo	Bom
216	Masculino	37	Servidor	Bom	Ótimo	Bom
217	Feminino	22	Estagiário	Regular	Bom	Ótimo
218	Feminino	33	Servidor	Regular	Ótimo	Bom
219	Masculino	38	Servidor	Ruim	Ótimo	Ruim
220	Feminino	32	Terceirizado	Bom	Ótimo	Ótimo
221	Masculino	20	Estagiário	Bom	Ótimo	Bom
222	Masculino	29	Servidor	Bom	Ótimo	Bom
223	Masculino	37	Terceirizado	Regular	Regular	Bom
224	Masculino	36	Servidor	Regular	Ótimo	Regular
225	Masculino	27	Servidor	Bom	Bom	Bom
226	Masculino	22	Estagiário	Bom	Ruim	Bom
227	Masculino	37	Servidor	Regular	Ótimo	Bom
228	Feminino	41	Servidor	Regular	Ótimo	Bom
229	Feminino	20	Estagiário	Regular	Bom	Ótimo
230	Masculino	40	Servidor	Regular	Bom	Bom
231	Feminino	37	Servidor	Bom	Ótimo	Regular
232	Masculino	39	Servidor	Regular	Regular	Ótimo
233	Masculino	21	Estagiário	Ruim	Ótimo	Ótimo
234	Masculino	31	Terceirizado	Bom	Bom	Bom
235	Feminino	35	Terceirizado	Regular	Regular	Bom
236	Feminino	21	Estagiário	Bom	Ruim	Bom
237	Masculino	25	Servidor	Regular	Bom	Bom
238	Masculino	35	Servidor	Regular	Bom	Bom
239	Feminino	43	Servidor	Regular	Bom	Bom
240	Masculino	37	Servidor	Bom	Bom	Ótimo
241	Feminino	49	Terceirizado	Bom	Bom	Bom
242	Feminino	36	Terceirizado	Regular	Bom	Ótimo
243	Feminino	40	Servidor	Ótimo	Ótimo	Ótimo
244	Feminino	39	Servidor	Ótimo	Ótimo	Regular
245	Masculino	38	Servidor	Bom	Ótimo	Bom
246	Masculino	39	Terceirizado	Bom	Ótimo	Ótimo
247	Masculino	34	Servidor	Regular	Bom	Bom
248	Feminino	32	Servidor	Regular	Ruim	Bom
249	Feminino	37	Servidor	Ruim	Regular	Bom
250	Masculino	34	Terceirizado	Ótimo	Bom	Ótimo
251	Masculino	36	Terceirizado	Bom	Regular	Bom
252	Masculino	39	Servidor	Regular	Ótimo	Bom
253	Feminino	28	Servidor	Ruim	Bom	Regular
254	Masculino	37	Servidor	Regular	Ótimo	Bom
255	Feminino	30	Servidor	Ótimo	Bom	Bom
256	Masculino	32	Servidor	Ótimo	Regular	Regular
257	Masculino	37	Terceirizado	Bom	Ótimo	Ótimo
258	Masculino	45	Servidor	Bom	Ruim	Bom
259	Masculino	42	Terceirizado	Regular	Ótimo	Bom
260	Feminino	27	Servidor	Regular	Ótimo	Bom
261	Feminino	38	Servidor	Bom	Ótimo	Regular
262	Masculino	35	Terceirizado	Bom	Ótimo	Ótimo
263	Feminino	29	Servidor	Ruim	Bom	Bom
264	Feminino	23	Estagiário	Regular	Bom	Bom
265	Feminino	25	Servidor	Regular	Bom	Bom
266	Feminino	34	Servidor	Bom	Ruim	Ótimo
267	Feminino	42	Servidor	Ruim	Ruim	Ruim
268	Feminino	45	Servidor	Bom	Ótimo	Bom
269	Feminino	30	Servidor	Regular	Regular	Bom
270	Feminino	43	Servidor	Regular	Bom	Bom
271	Feminino	38	Servidor	Regular	Bom	Bom
272	Masculino	31	Terceirizado	Ótimo	Bom	Bom
273	Masculino	29	Servidor	Bom	Ótimo	Bom
274	Feminino	35	Servidor	Regular	Ótimo	Regular
275	Masculino	30	Servidor	Regular	Bom	Regular
276	Masculino	33	Servidor	Bom	Ótimo	Bom
277	Masculino	20	Estagiário	Bom	Ótimo	Ótimo
278	Feminino	40	Terceirizado	Regular	Bom	Bom
279	Masculino	36	Servidor	Regular	Ótimo	Ótimo
280	Feminino	27	Servidor	Ruim	Ótimo	Ruim
281	Masculino	34	Servidor	Bom	Regular	Bom
282	Masculino	30	Terceirizado	Regular	Ótimo	Ótimo
283	Masculino	44	Servidor	Bom	Bom	Bom
284	Masculino	31	Servidor	Bom	Bom	Regular
285	Masculino	35	Terceirizado	Regular	Ótimo	Bom
286	Feminino	28	Servidor	Bom	Regular	Bom
287	Masculino	36	Terceirizado	Bom	Bom	Ótimo
288	Feminino	37	Servidor	Bom	Ótimo	Bom
289	Masculino	37	Terceirizado	Ruim	Ótimo	Ótimo
290	Feminino	20	Estagiário	Bom	Ótimo	Ótimo
291	Masculino	26	Servidor	Bom	Regular	Bom
292	Masculino	37	Servidor	Regular	Ótimo	Ótimo
293	Masculino	32	Servidor	Bom	Bom	Bom
294	Feminino	49	Terceirizado	Bom	Bom	Ótimo
295	Feminino	36	Servidor	Bom	Regular	Bom
296	Feminino	34	Servidor	Bom	Ótimo	Ótimo
297	Feminino	48	Servidor	Bom	Bom	Bom
298	Feminino	29	Servidor	Regular	Ótimo	Ruim
299	Masculino	28	Servidor	Bom	Ótimo	Ótimo
300	Feminino	36	Terceirizado	Regular	Ótimo	Ótimo
301	Feminino	33	Servidor	Bom	Ótimo	Bom
302	Feminino	26	Servidor	Bom	Ótimo	Regular
303	Masculino	38	Servidor	Regular	Bom	Regular
304	Masculino	31	Terceirizado	Bom	Bom	Ótimo
305	Feminino	27	Servidor	Regular	Regular	Regular
306	Masculino	25	Servidor	Bom	Bom	Bom
307	Feminino	27	Servidor	Ruim	Bom	Regular
308	Feminino	32	Terceirizado	Regular	Ruim	Ótimo
309	Feminino	31	Servidor	Regular	Ótimo	Regular
310	Masculino	22	Estagiário	Bom	Bom	Ótimo
311	Feminino	33	Servidor	Regular	Ótimo	Regular
312	Feminino	32	Servidor	Regular	Ótimo	Bom
313	Masculino	35	Servidor	Bom	Ótimo	Ótimo
314	Masculino	27	Servidor	Ruim	Ótimo	Ótimo
315	Masculino	31	Servidor	Regular	Bom	Ótimo
316	Feminino	42	Servidor	Regular	Ótimo	Bom
317	Masculino	36	Servidor	Regular	Bom	Bom
318	Feminino	33	Servidor	Ótimo	Ótimo	Bom
319	Feminino	28	Servidor	Bom	Ótimo	Regular
320	Feminino	41	Servidor	Regular	Bom	Regular
321	Masculino	31	Servidor	Regular	Ótimo	Regular
322	Feminino	31	Terceirizado	Bom	Bom	Ótimo
323	Feminino	37	Servidor	Regular	Ótimo	Bom
324	Masculino	40	Terceirizado	Regular	Ótimo	Ótimo
325	Feminino	18	Estagiário	Regular	Ótimo	Ótimo
326	Feminino	31	Terceirizado	Regular	Ótimo	Bom
327	Masculino	21	Estagiário	Regular	Bom	Regular
328	Masculino	22	Estagiário	Regular	Ótimo	Bom
329	Masculino	22	Estagiário	Regular	Bom	Ótimo
330	Masculino	23	Servidor	Regular	Ótimo	Bom
331	Masculino	37	Servidor	Bom	Ruim	Bom
332	Masculino	38	Servidor	Bom	Bom	Ótimo
333	Masculino	46	Servidor	Bom	Bom	Bom
334	Feminino	39	Servidor	Bom	Bom	Bom
335	Masculino	21	Terceirizado	Ruim	Ótimo	Ótimo
336	Masculino	33	Servidor	Regular	Ótimo	Bom
337	Feminino	38	Servidor	Ruim	Ótimo	Bom
338	Feminino	34	Servidor	Regular	Ótimo	Ótimo
339	Feminino	38	Servidor	Bom	Ótimo	Bom
340	Feminino	44	Servidor	Bom	Ótimo	Bom
341	Feminino	21	Estagiário	Bom	Ótimo	Ótimo
342	Feminino	38	Terceirizado	Regular	Ótimo	Ótimo
343	Feminino	43	Servidor	Regular	Bom	Bom
344	Masculino	31	Servidor	Regular	Ótimo	Ótimo
345	Masculino	34	Terceirizado	Regular	Regular	Ótimo
346	Feminino	42	Servidor	Bom	Bom	Bom
347	Masculino	24	Servidor	Ótimo	Ótimo	Bom
348	Masculino	44	Servidor	Regular	Ótimo	Regular
349	Feminino	23	Estagiário	Ruim	Ótimo	Ótimo
350	Feminino	30	Servidor	Regular	Ótimo	Bom
351	Masculino	20	Estagiário	Regular	Ótimo	Ótimo
352	Masculino	36	Servidor	Bom	Ótimo	Bom
353	Feminino	38	Servidor	Regular	Ótimo	Bom
354	Masculino	45	Servidor	Ruim	Bom	Bom
355	Feminino	38	Servidor	Regular	Bom	Bom
356	Feminino	26	Servidor	Bom	Ótimo	Ótimo
357	Feminino	33	Terceirizado	Regular	Bom	Bom
358	Feminino	45	Servidor	Bom	Ótimo	Bom
359	Masculino	42	Servidor	Bom	Ótimo	Bom
360	Masculino	29	Servidor	Regular	Ótimo	Bom
361	Feminino	22	Estagiário	Regular	Ótimo	Ótimo
362	Masculino	39	Terceirizado	Regular	Ótimo	Ótimo
363	Masculino	46	Servidor	Bom	Ótimo	Bom
364	Masculino	41	Terceirizado	Bom	Ótimo	Ótimo
365	Feminino	32	Servidor	Bom	Regular	Regular
366	Masculino	21	Estagiário	Bom	Bom	Ótimo
367	Feminino	37	Servidor	Bom	Bom	Bom
368	Feminino	36	Terceirizado	Ruim	Bom	Bom
369	Masculino	35	Terceirizado	Bom	Regular	Ótimo
370	Feminino	37	Servidor	Bom	Ótimo	Regular
371	Masculino	19	Estagiário	Bom	Ruim	Ótimo
372	Masculino	36	Servidor	Ótimo	Bom	Bom
373	Masculino	29	Terceirizado	Bom	Ótimo	Ótimo
374	Feminino	27	Servidor	Bom	Ótimo	Bom
375	Feminino	18	Estagiário	Bom	Ótimo	Ótimo
376	Feminino	41	Servidor	Ótimo	Ótimo	Bom
377	Feminino	27	Terceirizado	Bom	Ótimo	Ótimo
378	Feminino	18	Estagiário	Regular	Ótimo	Ótimo
379	Masculino	25	Servidor	Ruim	Ótimo	Regular
380	Feminino	32	Servidor	Regular	Ótimo	Bom
381	Feminino	46	Servidor	Regular	Ótimo	Bom
382	Masculino	45	Servidor	Regular	Ótimo	Bom
383	Masculino	45	Terceirizado	Regular	Ótimo	Bom
384	Masculino	42	Servidor	Regular	Bom	Regular
385	Feminino	21	Estagiário	Bom	Bom	Ótimo
386	Masculino	28	Servidor	Bom	Bom	Ótimo
387	Masculino	43	Servidor	Bom	Bom	Bom
388	Feminino	30	Terceirizado	Bom	Bom	Ótimo
389	Feminino	24	Terceirizado	Regular	Bom	Ótimo
390	Feminino	35	Servidor	Regular	Ótimo	Ótimo
391	Masculino	38	Servidor	Bom	Ótimo	Ótimo
392	Masculino	35	Terceirizado	Bom	Bom	Ótimo
393	Feminino	38	Servidor	Regular	Bom	Ruim
394	Feminino	20	Estagiário	Ruim	Ótimo	Ótimo
395	Feminino	39	Terceirizado	Ótimo	Bom	Ótimo
396	Masculino	33	Servidor	Regular	Regular	Bom
397	Feminino	33	Servidor	Regular	Regular	Regular
398	Masculino	42	Servidor	Regular	Bom	Bom
399	Feminino	41	Terceirizado	Bom	Ótimo	Bom
400	Feminino	37	Terceirizado	Regular	Ótimo	Ótimo
401	Feminino	39	Servidor	Regular	Ótimo	Ótimo
402	Feminino	37	Servidor	Regular	Ruim	Bom
403	Feminino	34	Terceirizado	Ruim	Ótimo	Ótimo
404	Feminino	29	Servidor	Regular	Ótimo	Bom
405	Masculino	37	Servidor	Ótimo	Ótimo	Bom
406	Feminino	34	Servidor	Regular	Ótimo	Ruim
407	Masculino	49	Terceirizado	Regular	Ótimo	Ótimo
408	Masculino	23	Servidor	Bom	Ótimo	Bom
409	Masculino	32	Servidor	Bom	Ótimo	Bom
410	Masculino	45	Servidor	Ótimo	Bom	Bom
411	Feminino	31	Servidor	Ótimo	Bom	Regular
412	Masculino	26	Servidor	Ótimo	Ótimo	Bom
413	Feminino	50	Servidor	Regular	Ruim	Ruim
414	Feminino	20	Estagiário	Ruim	Ótimo	Ótimo
415	Masculino	37	Servidor	Ruim	Bom	Bom
416	Masculino	35	Servidor	Regular	Ótimo	Bom
417	Feminino	37	Servidor	Bom	Bom	Ótimo
418	Masculino	22	Estagiário	Regular	Bom	Bom
419	Masculino	20	Estagiário	Regular	Regular	Ótimo
420	Feminino	39	Terceirizado	Bom	Ótimo	Ótimo
421	Masculino	49	Servidor	Regular	Regular	Bom
422	Masculino	22	Estagiário	Bom	Ótimo	Ótimo
423	Feminino	23	Servidor	Regular	Ótimo	Regular
424	Masculino	36	Servidor	Regular	Bom	Regular
425	Feminino	35	Servidor	Regular	Ótimo	Bom
426	Masculino	46	Terceirizado	Bom	Regular	Regular
427	Feminino	29	Servidor	Regular	Ótimo	Ótimo
428	Masculino	35	Servidor	Regular	Ótimo	Bom
429	Feminino	40	Servidor	Ruim	Ótimo	Ruim
430	Masculino	43	Servidor	Bom	Bom	Ótimo
431	Masculino	47	Servidor	Regular	Ótimo	Regular
432	Feminino	22	Estagiário	Bom	Bom	Regular
433	Feminino	30	Servidor	Ruim	Ótimo	Regular
434	Masculino	46	Terceirizado	Bom	Bom	Ótimo
435	Masculino	21	Estagiário	Ruim	Ótimo	Ótimo
436	Masculino	38	Servidor	Ótimo	Bom	Bom
437	Feminino	40	Servidor	Bom	Ótimo	Bom
438	Masculino	37	Terceirizado	Ótimo	Bom	Ótimo
439	Feminino	35	Servidor	Regular	Ótimo	Ótimo
440	Feminino	49	Servidor	Regular	Ótimo	Bom
441	Feminino	34	Servidor	Regular	Ótimo	Bom
442	Feminino	38	Servidor	Regular	Ótimo	Ótimo
443	Feminino	25	Servidor	Bom	Ruim	Ótimo
444	Masculino	29	Servidor	Bom	Bom	Regular
445	Feminino	47	Servidor	Ótimo	Regular	Bom
446	Masculino	32	Servidor	Bom	Regular	Bom
447	Feminino	46	Terceirizado	Ótimo	Ótimo	Ótimo
448	Masculino	37	Terceirizado	Regular	Ótimo	Ótimo
449	Feminino	22	Estagiário	Bom	Ótimo	Ótimo
450	Masculino	31	Servidor	Ruim	Regular	Ótimo
451	Feminino	28	Servidor	Ruim	Bom	Bom
452	Masculino	53	Terceirizado	Regular	Ótimo	Ótimo
453	Masculino	31	Servidor	Bom	Ótimo	Ótimo
454	Feminino	32	Terceirizado	Bom	Bom	Bom
455	Masculino	22	Estagiário	Ruim	Ótimo	Ótimo
456	Feminino	35	Servidor	Ruim	Ótimo	Regular
457	Feminino	37	Terceirizado	Bom	Ótimo	Ótimo
458	Feminino	28	Servidor	Bom	Bom	Bom
459	Masculino	37	Terceirizado	Bom	Ótimo	Ótimo
460	Masculino	19	Estagiário	Bom	Ótimo	Bom
461	Feminino	34	Servidor	Ótimo	Ótimo	Bom
462	Masculino	49	Servidor	Bom	Ótimo	Regular
463	Feminino	26	Terceirizado	Regular	Ótimo	Ótimo
464	Feminino	29	Terceirizado	Bom	Ótimo	Bom
465	Masculino	31	Servidor	Ruim	Ruim	Bom
466	Masculino	39	Terceirizado	Regular	Bom	Bom
467	Masculino	40	Servidor	Bom	Ótimo	Ótimo
468	Masculino	35	Servidor	Regular	Regular	Bom
469	Masculino	35	Servidor	Bom	Ótimo	Ótimo
470	Feminino	41	Servidor	Bom	Ótimo	Bom
471	Masculino	34	Terceirizado	Ruim	Bom	Bom
472	Masculino	34	Servidor	Bom	Bom	Bom
473	Feminino	33	Servidor	Bom	Regular	Bom
474	Feminino	42	Servidor	Regular	Regular	Bom
475	Masculino	34	Servidor	Regular	Bom	Bom
476	Masculino	34	Servidor	Regular	Bom	Ruim
477	Masculino	25	Servidor	Bom	Ótimo	Bom
478	Masculino	39	Servidor	Bom	Ruim	Regular
479	Masculino	29	Servidor	Bom	Ótimo	Bom
480	Feminino	41	Terceirizado	Ruim	Regular	Ótimo
481	Masculino	27	Terceirizado	Regular	Ótimo	Ótimo
482	Feminino	34	Servidor	Bom	Regular	Ótimo
483	Masculino	37	Servidor	Regular	Ótimo	Ótimo
484	Masculino	37	Servidor	Regular	Ótimo	Bom
485	Feminino	37	Terceirizado	Bom	Ótimo	Ótimo
486	Feminino	34	Servidor	Bom	Bom	Ótimo
