id	sexo	idade	vinculo	estacionamento	instalacoes	ambiente
54	Masculino	25	Servidor	Ruim	Ótimo	Regular
55	Feminino	29	Servidor	Bom	Ótimo	Bom
56	Feminino	18	Estagiário	Bom	Ótimo	Ótimo
57	Masculino	32	Servidor	Regular	Bom	Bom
58	Feminino	30	Servidor	Bom	Ótimo	Ótimo
59	Feminino	19	Estagiário	Bom	Ótimo	Ótimo
60	Masculino	20	Estagiário	Regular	Ótimo	Bom
61	Masculino	41	Terceirizado	Regular	Ótimo	Ótimo
62	Masculino	42	Servidor	Bom	Bom	Bom
63	Masculino	22	Estagiário	Bom	Regular	Ótimo
64	Masculino	37	Terceirizado	Bom	Bom	Ótimo
65	Masculino	39	Terceirizado	Ruim	Ótimo	Ótimo
66	Masculino	44	Servidor	Bom	Bom	Bom
67	Feminino	36	Servidor	Ruim	Ótimo	Ruim
68	Feminino	32	Servidor	Bom	Bom	Bom
69	Feminino	34	Terceirizado	Ruim	Bom	Ótimo
70	Masculino	39	Servidor	Bom	Ótimo	Ótimo
71	Feminino	30	Terceirizado	Bom	Bom	Ótimo
72	Masculino	32	Servidor	Bom	Ótimo	Bom
73	Feminino	33	Servidor	Ruim	Ótimo	Bom
74	Feminino	30	Servidor	Bom	Regular	Bom
75	Masculino	50	Servidor	Regular	Ótimo	Ótimo
76	Feminino	33	Servidor	Ótimo	Bom	Bom
77	Masculino	28	Servidor	Ruim	Regular	Ótimo
78	Feminino	45	Terceirizado	Regular	Bom	Ótimo
79	Masculino	36	Servidor	Regular	Ótimo	Ótimo
80	Feminino	32	Terceirizado	Ruim	Ótimo	Ótimo
81	Feminino	23	Terceirizado	Regular	Ótimo	Ótimo
82	Masculino	39	Terceirizado	Regular	Bom	Ótimo
83	Feminino	44	Terceirizado	Bom	Bom	Bom
84	Feminino	32	Servidor	Ruim	Bom	Bom
85	Masculino	31	Terceirizado	Ruim	Bom	Ótimo
86	Masculino	32	Terceirizado	Bom	Bom	Ótimo
87	Feminino	38	Servidor	Regular	Ótimo	Bom
88	Feminino	39	Servidor	Bom	Ótimo	Bom
89	Masculino	19	Estagiário	Regular	Ótimo	Ótimo
90	Masculino	34	Servidor	Ruim	Ótimo	Bom
91	Masculino	28	Servidor	Bom	Ótimo	Ruim
92	Feminino	29	Servidor	Ruim	Bom	Ótimo
93	Masculino	33	Servidor	Bom	Ótimo	Bom
94	Masculino	27	Servidor	Bom	Ótimo	Bom
95	Feminino	32	Servidor	Bom	Regular	Regular
96	Masculino	39	Terceirizado	Bom	Bom	Ótimo
97	Masculino	38	Servidor	Regular	Ótimo	Regular
98	Feminino	34	Servidor	Regular	Bom	Bom
99	Masculino	22	Estagiário	Regular	Ótimo	Regular
100	Masculino	43	Servidor	Ruim	Ótimo	Regular
101	Feminino	20	Estagiário	Ruim	Regular	Ótimo
102	Masculino	44	Servidor	Ótimo	Ótimo	Bom
103	Masculino	44	Servidor	Bom	Regular	Bom
104	Masculino	37	Servidor	Regular	Bom	Bom
105	Feminino	32	Servidor	Regular	Regular	Ótimo
106	Masculino	35	Servidor	Regular	Ótimo	Bom
107	Feminino	34	Servidor	Regular	Ótimo	Ótimo
108	Feminino	48	Servidor	Bom	Bom	Ótimo
109	Masculino	30	Servidor	Regular	Bom	Bom
110	Feminino	29	Terceirizado	Regular	Bom	Ótimo
111	Masculino	40	Servidor	Regular	Bom	Ótimo
112	Masculino	22	Estagiário	Ótimo	Regular	Ótimo
113	Masculino	34	Servidor	Regular	Ótimo	Regular
114	Feminino	43	Terceirizado	Ruim	Bom	Ótimo
115	Feminino	21	Estagiário	Regular	Bom	Ótimo
116	Feminino	31	Servidor	Bom	Bom	Bom
117	Feminino	20	Estagiário	Regular	Bom	Ótimo
118	Feminino	28	Terceirizado	Bom	Ruim	Ótimo
119	Feminino	23	Servidor	Ruim	Bom	Bom
120	Feminino	36	Terceirizado	Bom	Regular	Ótimo
121	Feminino	35	Servidor	Bom	Ruim	Bom
122	Feminino	35	Servidor	Bom	Ótimo	Ótimo
123	Masculino	35	Servidor	Regular	Bom	Ótimo
124	Masculino	37	Terceirizado	Bom	Bom	Ótimo
125	Masculino	23	Estagiário	Ruim	Bom	Ótimo
126	Masculino	39	Servidor	Ruim	Bom	Bom
127	Feminino	33	Terceirizado	Bom	Ótimo	Regular
128	Masculino	40	Terceirizado	Ruim	Ótimo	Ótimo
129	Feminino	42	Terceirizado	Regular	Bom	Ótimo
130	Masculino	37	Terceirizado	Regular	Ótimo	Bom
131	Masculino	35	Terceirizado	Bom	Regular	Ótimo
132	Masculino	22	Estagiário	Regular	Ótimo	Ótimo
133	Feminino	36	Servidor	Bom	Ótimo	Ótimo
134	Masculino	38	Servidor	Regular	Ruim	Regular
135	Feminino	22	Estagiário	Bom	Bom	Ótimo
136	Feminino	32	Terceirizado	Regular	Ótimo	Ótimo
137	Masculino	42	Terceirizado	Regular	Ótimo	Ótimo
138	Feminino	36	Servidor	Ótimo	Ótimo	Ótimo
139	Masculino	21	Estagiário	Bom	Ótimo	Ótimo
140	Feminino	38	Servidor	Regular	Regular	Bom
141	Masculino	39	Servidor	Bom	Ótimo	Bom
142	Feminino	31	Servidor	Bom	Bom	Ótimo
143	Masculino	42	Servidor	Bom	Ótimo	Bom
144	Feminino	20	Estagiário	Bom	Ruim	Ruim
145	Feminino	22	Servidor	Bom	Ótimo	Bom
146	Masculino	30	Servidor	Bom	Ótimo	Regular
147	Masculino	19	Terceirizado	Ótimo	Ótimo	Ótimo
148	Feminino	32	Servidor	Regular	Ótimo	Bom
149	Feminino	38	Servidor	Bom	Bom	Ótimo
150	Feminino	36	Servidor	Regular	Ótimo	Bom
151	Masculino	31	Servidor	Bom	Bom	Bom
152	Masculino	33	Terceirizado	Regular	Ótimo	Ótimo
153	Masculino	37	Terceirizado	Bom	Ótimo	Ótimo
154	Masculino	42	Terceirizado	Regular	Ótimo	Ótimo
155	Masculino	38	Servidor	Regular	Regular	Bom
156	Feminino	39	Terceirizado	Bom	Bom	Ótimo
157	Feminino	35	Servidor	Bom	Ótimo	Bom
158	Masculino	35	Servidor	Regular	Bom	Ótimo
159	Masculino	37	Servidor	Regular	Regular	Bom
160	Masculino	28	Servidor	Regular	Ótimo	Bom
161	Masculino	21	Estagiário	Bom	Bom	Bom
162	Masculino	32	Terceirizado	Regular	Ótimo	Ótimo
163	Masculino	42	Servidor	Bom	Ótimo	Ótimo
164	Masculino	32	Servidor	Bom	Ótimo	Ótimo
165	Feminino	42	Terceirizado	Bom	Ótimo	Bom
166	Masculino	18	Estagiário	Regular	Bom	Regular
167	Masculino	27	Servidor	Ruim	Bom	Bom
168	Feminino	29	Servidor	Regular	Ótimo	Bom
169	Masculino	27	Servidor	Bom	Bom	Bom
170	Masculino	30	Servidor	Regular	Bom	Bom
171	Feminino	40	Servidor	Ruim	Bom	Ruim
172	Feminino	30	Servidor	Bom	Ótimo	Bom
173	Feminino	29	Servidor	Bom	Ótimo	Bom
174	Masculino	40	Servidor	Bom	Ótimo	Ótimo
175	Masculino	33	Servidor	Bom	Regular	Regular
176	Masculino	31	Servidor	Bom	Bom	Bom
177	Masculino	30	Terceirizado	Regular	Ruim	Ótimo
178	Feminino	45	Servidor	Bom	Ótimo	Ótimo
179	Masculino	32	Servidor	Bom	Ótimo	Bom
180	Feminino	41	Servidor	Regular	Ótimo	Bom
181	Masculino	21	Estagiário	Regular	Ótimo	Ótimo
182	Masculino	40	Terceirizado	Bom	Regular	Ótimo
183	Feminino	33	Servidor	Ruim	Ótimo	Ruim
184	Masculino	36	Servidor	Bom	Bom	Ótimo
185	Masculino	44	Terceirizado	Bom	Ótimo	Bom
186	Masculino	30	Servidor	Bom	Ótimo	Regular
187	Feminino	28	Servidor	Regular	Ruim	Bom
188	Masculino	27	Servidor	Regular	Bom	Bom
189	Masculino	30	Servidor	Regular	Bom	Bom
190	Feminino	28	Servidor	Bom	Ótimo	Bom
191	Masculino	35	Terceirizado	Bom	Ruim	Ótimo
192	Masculino	36	Servidor	Ruim	Bom	Regular
193	Masculino	33	Terceirizado	Bom	Ruim	Ótimo
194	Masculino	31	Servidor	Bom	Bom	Regular
195	Feminino	38	Servidor	Regular	Ótimo	Regular
196	Masculino	20	Estagiário	Ótimo	Bom	Ótimo
197	Masculino	33	Servidor	Bom	Ótimo	Ruim
198	Feminino	37	Servidor	Regular	Ótimo	Ótimo
199	Feminino	20	Estagiário	Ruim	Bom	Ótimo
200	Feminino	36	Servidor	Bom	Ótimo	Bom
201	Masculino	42	Servidor	Regular	Ótimo	Bom
202	Feminino	42	Servidor	Regular	Bom	Bom
203	Feminino	39	Servidor	Regular	Bom	Bom
204	Feminino	31	Servidor	Bom	Bom	Bom
205	Feminino	38	Servidor	Bom	Bom	Ótimo
206	Masculino	31	Servidor	Bom	Bom	Bom
207	Feminino	24	Servidor	Regular	Bom	Ótimo
208	Masculino	30	Terceirizado	Regular	Ótimo	Ótimo
209	Masculino	35	Servidor	Regular	Bom	Ruim
210	Feminino	32	Servidor	Bom	Bom	Ótimo
211	Masculino	31	Servidor	Regular	Regular	Ótimo
212	Feminino	30	Servidor	Bom	Ótimo	Ótimo
213	Feminino	41	Servidor	Bom	Ótimo	Bom
214	Feminino	32	Terceirizado	Bom	Ótimo	Ótimo
215	Masculino	28	Servidor	Regular	Ótimo	Bom
216	Feminino	35	Terceirizado	Ruim	Ótimo	Ótimo
217	Masculino	35	Servidor	Regular	Regular	Bom
218	Masculino	26	Servidor	Bom	Bom	Regular
219	Masculino	36	Servidor	Bom	Regular	Bom
220	Masculino	36	Servidor	Bom	Ótimo	Bom
221	Masculino	34	Servidor	Regular	Ótimo	Bom
222	Masculino	43	Terceirizado	Bom	Ótimo	Ótimo
223	Feminino	22	Estagiário	Regular	Ótimo	Ótimo
224	Feminino	19	Estagiário	Regular	Bom	Ótimo
225	Masculino	26	Servidor	Bom	Bom	Regular
226	Feminino	36	Servidor	Regular	Bom	Regular
227	Feminino	28	Servidor	Bom	Ótimo	Ótimo
228	Masculino	35	Servidor	Regular	Ótimo	Bom
229	Feminino	38	Servidor	Regular	Ótimo	Bom
230	Masculino	28	Servidor	Regular	Ótimo	Ótimo
231	Masculino	37	Servidor	Bom	Ótimo	Ruim
232	Masculino	38	Servidor	Regular	Bom	Bom
233	Masculino	32	Servidor	Ruim	Ótimo	Ótimo
234	Feminino	43	Terceirizado	Regular	Bom	Bom
235	Feminino	32	Terceirizado	Ruim	Bom	Ótimo
236	Feminino	34	Servidor	Regular	Regular	Bom
237	Masculino	30	Servidor	Regular	Bom	Ótimo
238	Masculino	47	Servidor	Regular	Ruim	Ótimo
239	Feminino	39	Servidor	Bom	Ótimo	Ótimo
240	Feminino	44	Servidor	Bom	Bom	Regular
241	Masculino	34	Terceirizado	Regular	Ótimo	Ótimo
242	Masculino	38	Servidor	Bom	Ótimo	Bom
243	Masculino	18	Estagiário	Regular	Ótimo	Ótimo
244	Feminino	23	Estagiário	Bom	Bom	Ótimo
245	Masculino	26	Servidor	Bom	Ótimo	Bom
246	Masculino	29	Servidor	Bom	Bom	Bom
247	Masculino	30	Servidor	Bom	Ótimo	Bom
248	Feminino	41	Servidor	Ruim	Ótimo	Ótimo
249	Masculino	24	Servidor	Ruim	Regular	Bom
250	Masculino	32	Servidor	Regular	Ótimo	Regular
251	Masculino	32	Terceirizado	Bom	Ótimo	Ótimo
252	Feminino	19	Estagiário	Regular	Ruim	Ruim
253	Feminino	33	Servidor	Ótimo	Ótimo	Bom
254	Masculino	28	Servidor	Ruim	Ótimo	Regular
255	Feminino	30	Servidor	Bom	Bom	Bom
256	Feminino	30	Servidor	Regular	Ótimo	Ótimo
257	Masculino	25	Servidor	Bom	Bom	Bom
258	Masculino	37	Servidor	Bom	Ótimo	Bom
259	Feminino	41	Terceirizado	Ótimo	Ótimo	Bom
260	Masculino	32	Terceirizado	Ruim	Bom	Ótimo
261	Masculino	22	Estagiário	Ruim	Ótimo	Bom
262	Masculino	22	Terceirizado	Regular	Bom	Ótimo
263	Feminino	33	Servidor	Regular	Ótimo	Bom
264	Masculino	50	Servidor	Bom	Ótimo	Regular
265	Masculino	39	Servidor	Bom	Ótimo	Bom
266	Feminino	34	Servidor	Ótimo	Regular	Ótimo
267	Masculino	38	Terceirizado	Bom	Regular	Ótimo
268	Masculino	34	Servidor	Ruim	Bom	Ruim
269	Masculino	22	Servidor	Bom	Ótimo	Bom
270	Masculino	38	Servidor	Bom	Bom	Regular
271	Masculino	40	Servidor	Ótimo	Ótimo	Bom
272	Feminino	43	Servidor	Bom	Ótimo	Bom
273	Feminino	37	Servidor	Bom	Bom	Bom
274	Masculino	19	Estagiário	Regular	Bom	Ótimo
275	Masculino	43	Servidor	Ruim	Ruim	Bom
276	Feminino	31	Terceirizado	Bom	Ótimo	Ótimo
277	Masculino	20	Estagiário	Ruim	Bom	Ótimo
278	Masculino	49	Terceirizado	Regular	Ótimo	Bom
279	Masculino	32	Servidor	Regular	Regular	Bom
280	Masculino	38	Servidor	Bom	Bom	Bom
281	Masculino	44	Servidor	Bom	Bom	Ótimo
282	Masculino	33	Servidor	Bom	Ótimo	Regular
283	Masculino	27	Servidor	Regular	Ótimo	Regular
284	Feminino	41	Servidor	Regular	Ótimo	Ruim
285	Masculino	32	Servidor	Bom	Ótimo	Ótimo
286	Feminino	25	Servidor	Regular	Ótimo	Ótimo
287	Feminino	36	Servidor	Regular	Bom	Bom
288	Feminino	20	Estagiário	Regular	Ótimo	Ótimo
289	Masculino	31	Terceirizado	Regular	Bom	Ótimo
290	Masculino	41	Servidor	Regular	Bom	Ótimo
291	Masculino	31	Servidor	Regular	Ótimo	Ótimo
292	Feminino	52	Servidor	Regular	Regular	Regular
293	Masculino	41	Servidor	Regular	Ótimo	Bom
294	Masculino	37	Terceirizado	Bom	Regular	Bom
295	Masculino	35	Servidor	Bom	Ótimo	Bom
296	Masculino	39	Terceirizado	Ruim	Bom	Ótimo
297	Feminino	25	Servidor	Bom	Ruim	Bom
298	Feminino	40	Terceirizado	Bom	Regular	Ótimo
299	Masculino	37	Servidor	Regular	Ótimo	Bom
300	Masculino	39	Servidor	Regular	Ótimo	Bom
301	Masculino	39	Terceirizado	Bom	Regular	Ótimo
302	Feminino	35	Terceirizado	Regular	Ótimo	Ótimo
303	Masculino	34	Servidor	Bom	Ótimo	Bom
304	Feminino	30	Servidor	Bom	Bom	Bom
305	Feminino	45	Servidor	Ruim	Bom	Bom
306	Masculino	40	Servidor	Bom	Bom	Ótimo
307	Feminino	30	Terceirizado	Bom	Bom	Ótimo
308	Feminino	45	Servidor	Bom	Bom	Regular
309	Masculino	49	Servidor	Regular	Bom	Bom
310	Feminino	38	Terceirizado	Regular	Ótimo	Ótimo
311	Feminino	30	Servidor	Ruim	Ótimo	Regular
312	Masculino	38	Servidor	Regular	Bom	Ótimo
313	Masculino	28	Servidor	Bom	Bom	Bom
314	Feminino	35	Terceirizado	Regular	Ótimo	Ótimo
315	Feminino	26	Servidor	Ruim	Bom	Ruim
316	Feminino	37	Servidor	Ruim	Bom	Bom
317	Feminino	39	Servidor	Bom	Ótimo	Ruim
318	Masculino	22	Estagiário	Regular	Bom	Ótimo
319	Feminino	30	Servidor	Regular	Regular	Bom
320	Masculino	28	Servidor	Regular	Regular	Bom
321	Feminino	37	Servidor	Bom	Ótimo	Bom
322	Feminino	38	Servidor	Bom	Bom	Bom
323	Feminino	34	Servidor	Ruim	Ótimo	Ótimo
324	Masculino	39	Servidor	Bom	Bom	Bom
325	Feminino	20	Estagiário	Regular	Ótimo	Ótimo
326	Masculino	33	Servidor	Regular	Bom	Ótimo
327	Masculino	34	Terceirizado	Regular	Ótimo	Ótimo
328	Feminino	21	Terceirizado	Regular	Ótimo	Ótimo
329	Feminino	20	Estagiário	Regular	Bom	Ótimo
330	Masculino	32	Servidor	Bom	Ótimo	Bom
331	Feminino	22	Servidor	Regular	Bom	Regular
332	Masculino	29	Terceirizado	Bom	Bom	Ótimo
333	Feminino	38	Terceirizado	Bom	Bom	Ótimo
334	Feminino	31	Servidor	Bom	Ótimo	Regular
335	Feminino	36	Servidor	Ótimo	Bom	Ruim
336	Masculino	40	Terceirizado	Bom	Regular	Ótimo
337	Feminino	42	Terceirizado	Ruim	Regular	Ótimo
338	Masculino	33	Servidor	Regular	Ótimo	Regular
339	Masculino	36	Servidor	Ruim	Ótimo	Bom
340	Masculino	23	Estagiário	Bom	Ótimo	Ótimo
341	Feminino	28	Terceirizado	Regular	Ótimo	Ótimo
342	Masculino	39	Terceirizado	Bom	Ótimo	Ótimo
343	Masculino	55	Servidor	Bom	Regular	Ruim
344	Masculino	30	Terceirizado	Regular	Regular	Ruim
345	Feminino	38	Servidor	Bom	Ótimo	Bom
346	Feminino	36	Servidor	Bom	Ótimo	Bom
347	Masculino	18	Estagiário	Bom	Ótimo	Ótimo
348	Feminino	27	Servidor	Regular	Bom	Bom
349	Masculino	31	Servidor	Bom	Ótimo	Regular
350	Masculino	39	Servidor	Regular	Bom	Regular
351	Feminino	40	Servidor	Regular	Bom	Bom
352	Feminino	31	Terceirizado	Regular	Ruim	Ótimo
353	Feminino	32	Servidor	Regular	Ótimo	Ótimo
354	Masculino	36	Servidor	Regular	Regular	Bom
355	Masculino	36	Servidor	Bom	Bom	Regular
356	Feminino	37	Terceirizado	Regular	Ótimo	Ótimo
357	Feminino	33	Servidor	Bom	Bom	Ótimo
358	Feminino	43	Terceirizado	Bom	Bom	Ótimo
359	Feminino	31	Servidor	Ruim	Ótimo	Ótimo
360	Masculino	41	Servidor	Bom	Bom	Bom
361	Feminino	33	Terceirizado	Bom	Ótimo	Ótimo
362	Feminino	32	Servidor	Ruim	Ótimo	Bom
363	Masculino	33	Servidor	Ótimo	Ótimo	Ótimo
364	Masculino	40	Terceirizado	Bom	Regular	Ótimo
365	Feminino	32	Servidor	Bom	Bom	Bom
366	Masculino	18	Estagiário	Bom	Ótimo	Ótimo
367	Masculino	18	Servidor	Bom	Bom	Bom
368	Masculino	39	Terceirizado	Ruim	Bom	Ótimo
369	Feminino	35	Servidor	Ruim	Bom	Bom
370	Feminino	23	Estagiário	Regular	Bom	Ótimo
371	Feminino	39	Servidor	Bom	Ótimo	Bom
372	Masculino	30	Servidor	Bom	Ótimo	Bom
373	Masculino	33	Servidor	Bom	Regular	Bom
374	Masculino	27	Servidor	Ótimo	Ótimo	Bom
375	Masculino	24	Servidor	Bom	Ótimo	Bom
376	Masculino	35	Servidor	Regular	Bom	Ótimo
377	Masculino	39	Terceirizado	Regular	Ótimo	Ótimo
378	Masculino	23	Servidor	Regular	Bom	Regular
379	Feminino	28	Servidor	Bom	Ótimo	Ótimo
380	Feminino	43	Servidor	Ruim	Bom	Bom
381	Feminino	47	Servidor	Bom	Bom	Regular
382	Masculino	35	Servidor	Bom	Bom	Bom
383	Feminino	27	Servidor	Bom	Ótimo	Bom
384	Feminino	32	Servidor	Ruim	Bom	Ótimo
